0,"[np.float64(0.225), np.float64(0.215)]"
1,"[np.float64(0.225), np.float64(0.215)]"
2,"[0.0, np.float64(0.215)]"
3,"[np.float64(0.225), np.float64(0.215)]"
4,"[np.float64(0.225), np.float64(0.215)]"
5,"[np.float64(0.225), np.float64(0.215)]"
6,"[np.float64(0.225), np.float64(0.215)]"
7,"[np.float64(0.225), np.float64(0.215)]"
8,"[0.0, np.float64(0.215)]"
9,"[np.float64(0.225), np.float64(0.215)]"
10,"[np.float64(0.225), np.float64(0.215)]"
11,"[np.float64(0.225), np.float64(0.215)]"
12,"[np.float64(0.225), np.float64(0.215)]"
13,"[np.float64(0.225), np.float64(0.215)]"
14,"[0.0, np.float64(0.215)]"
15,"[np.float64(0.225), np.float64(0.215)]"
16,"[0.0, np.float64(0.215)]"
17,"[np.float64(0.225), np.float64(0.215)]"
18,"[np.float64(0.225), np.float64(0.215)]"
19,"[np.float64(0.225), np.float64(0.215)]"
