input1,output1
"99",9
"88",8
"77",7
"55",5
"44",4
"22",2
"00",0
"83",0
"38",0
"71",0
"90",0
"32",0
"05",0
"64",0
"42",0
"999",18
"555",10
"111",2
"844",4
"522",2
"688",8
"233",3
"660",6
"004",0
"992",9
"123",0
"841",0
"808",0
"454",0
"295",0
"99999999999999999999",171
"88888888885555555555",117
"85858585858585858585",0
"00000000000000000000",0
"11111111111111111111",19
"11223344556677889900",45
"11111888882222266666",68
"91181171161151141131",6
"77777377777377777377",91
"09876543210987654321",0
