,Task,QuestionOnly_train,QuestionOnly_test,QuestionOnly_both
0,basement,0,0,0.0
1,bouncing-balls,0,0,0.0
2,bowling,23,23,23.0
3,camel-case,0,64,0.0
4,coin-sums,0,0,0.0
5,cut-vector,0,0,0.0
6,dice-game,0,0,0.0
7,find-pair,0,0,0.0
8,fizz-buzz,100,100,100.0
9,fuel-cost,0,0,0.0
10,gcd,100,100,100.0
11,indices-of-substring,0,0,0.0
12,leaders,0,0,0.0
13,luhn,0,0,0.0
14,mastermind,0,0,0.0
15,middle-character,100,100,100.0
16,paired-digits,37,37,37.0
17,shopping-list,0,0,0.0
18,snow-day,0,0,0.0
19,solve-boolean,19,18,18.0
20,spin-words,0,99,0.0
21,square-digits,100,100,100.0
22,substitution-cipher,0,0,0.0
23,twitter,0,0,0.0
24,vector-distance,0,0,0.0
