input1,input2,output1
[50.0],[100.0],0.0
[50.0],[10.0],45.0
[20.0 20.0],[100.0 50.0],10.0
[20.0 20.0],[20.0 0.0],36.0
[10.0 20.0 30.0],[5.0 10.0 95.0],29.0
[43.14 18.23 5.33 1.35 39.68],[100.0 100.0 100.0 100.0 100.0],0.0
[5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73 5.73],[59.19 91.24 25.93 16.18 24.65 61.96 67.91 43.87 36.23 34.3 96.27 69.25 73.78 0.52 8.91 39.18 79.67 64.22 14.15 52.44],59.6
[25.43 43.22 23.42 42.09 25.7],[0.0 0.0 0.0 0.0 0.0],159.86
[0.01 0.01 0.01 0.01 0.01 0.01 0.01],[85.77 43.99 22.78 34.14 34.12 8.54 11.03],0.05
[9.99 9.99 9.99 9.99 9.99 9.99 9.99 9.99 9.99 9.99],[33.65 33.65 33.65 33.65 33.65 33.65 33.65 33.65 33.65 33.65],66.28
